"","estimate","mean","sd","CI_2.5","CI_97.5"
"1","mu_happy",0.00502288326431319,0.000720038314541713,0.00376741011998828,0.00660916313699606
"2","mu_angry",0.0056216153231714,0.000799249616110421,0.00420229753544816,0.00736349116193378
"3","mu_neutral",0.00514464420816051,0.000784581048918206,0.00377667391652408,0.0068499979293152
"4","mu_SUBJm",0.00691591602635494,0.00155729556545805,0.00438690208476492,0.0103511637235694
"5","mu_SUBJf",0.00472390573824976,0.000723995479929222,0.00346796095674836,0.00630472460827716
"6","mu_AVATm",0.00526348504836023,0.00072900369593982,0.00396871729651018,0.00684344710865355
"7","mu_AVATf",0.00552088121216368,0.000757259943260688,0.00418086430034156,0.00717985826680164
"8","mu_m8",0.00556457089747179,0.000796812971856968,0.00414862871183249,0.007318250916588
"9","mu_32",0.00564613013473401,0.000798499086457385,0.00422900655963983,0.00739693915303141
"10","mu_72",0.00495981194206001,0.000701083766127944,0.00372115350986128,0.00649460692428166
"11","mu_happy_m8",0.00502475051150592,0.000829375829134007,0.003593868757009,0.00684474453081348
"12","mu_angry_m8",0.00622293533525274,0.00100504130116708,0.00447515840536214,0.00841413487186539
"13","mu_neutral_m8",0.00445851079769306,0.000836928352243455,0.00305437458139073,0.00634327254036661
"14","mu_happy_32",0.00477239777867911,0.000802970750049395,0.00341358967624948,0.00657631291223446
"15","mu_angry_32",0.00569857572502315,0.000935106399923014,0.00408790941346912,0.00771925564448936
"16","mu_neutral_32",0.00643405058248409,0.00120202801133212,0.00440878603194384,0.00912553628291329
"17","mu_happy_72",0.0052736403363896,0.000904937797049796,0.00371662675971749,0.00731166380718591
"18","mu_angry_72",0.00494235832051772,0.000818938243319161,0.00352833578028107,0.00671560301296322
"19","mu_neutral_72",0.00453861432461975,0.000807378890040533,0.00318575731808351,0.00632795161176508
